17 sektor,,,
,Rata-Rata Upah/Gaji (Rupiah),,
,2021,,
,Februari,Agustus,Tahunan
A,1931833,1971660,-
B,4293907,4330802,-
C,2876185,2659274,-
D,4158315,3668150,-
E,2716611,2638298,-
F,2816178,2739263,-
G,2433665,2301471,-
H,3320575,2959761,-
I,2059825,1868856,-
J,4047396,4131229,-
K,4144629,4135417,-
L,3390567,3717246,-
"M, N",3249741,3152934,-
O,4026068,3786900,-
P,2692517,2586677,-
Q,3379436,3272315,-
"R, S, T, U",1671870,1636824,-
Rata-Rata,2860630,2736463,-
