17 sektor,,,
,Rata-Rata Upah/Gaji (Rupiah),,
,2023,,
,Februari,Agustus,Tahunan
A,2062328,2374788,-
B,4591764,4795266,-
C,2963061,3204880,-
D,4261802,4357011,-
E,2605373,3153575,-
F,3050337,3144676,-
G,2496098,2786349,-
H,3583428,3793465,-
I,2145400,2424909,-
J,4365911,5125818,-
K,4811289,5110190,-
L,4824840,4255738,-
"M, N",3553175,4040138,-
O,3880060,3967128,-
P,2473647,2704818,-
Q,3556947,3670913,-
"R, S, T, U",1790306,1869207,-
Rata-Rata,2944541,3178227,-
