17 sektor,,,
,Rata-Rata Upah/Gaji (Rupiah),,
,2020,,
,Februari,Agustus,Tahunan
A,2071202,1907188,-
B,5099655,4478006,-
C,2817234,2635446,-
D,3988936,3734427,-
E,2698415,2449753,-
F,2979230,2772404,-
G,2434107,2359811,-
H,3598904,3149968,-
I,2287590,1929990,-
J,4075263,3943383,-
K,4151175,4148675,-
L,3470621,3350489,-
"M, N",3391160,3348635,-
O,3980906,3791221,-
P,2744687,2670091,-
Q,3354439,3280541,-
"R, S, T, U",1707745,1694250,-
Rata-Rata,2917497,2756345,-
