17 sektor,,,
,Rata-Rata Upah/Gaji (Rupiah),,
,2019,,
,Februari,Agustus,Tahunan
A,2051084,2031206,-
B,5029621,4774880,-
C,2653268,2842842,-
D,3759261,4044806,-
E,2511849,2484169,-
F,2845966,2794480,-
G,2321086,2460909,-
H,3416587,3597021,-
I,2279477,2328961,-
J,4047803,4314337,-
K,4107387,4245264,-
L,3383495,3992217,-
"M, N",3276406,3448464,-
O,3756932,3986653,-
P,2672860,2733160,-
Q,3321344,3432193,-
"R, S, T, U",1678897,1770103,-
Rata-Rata,2791517,2913897,-
